FID,Longitude,Latitude,Mean_HF,Median_HF,MEAN_Annual_Temp,Therm_Cond__W_per_m_K,Z85_Med_HF_km,Z122_Med_HF_km,Z85_Mean_HF_km,Z122_Mean_HF_km,rechargeDepth,Descriptio,rechargeVolume,grid_area_m2,crustTypeFull,crustType,crustTypeMin1,crustScheme2,combined_cv,combined_cr,rechargeShort
2594,-96.818,43,74,74,7.5,2.5,2.618243243,3.868243243,2.618243243,3.868243243,shallow,shallow_<100_mm/a,low,49318620041,H1,Archaean_and_Proterozoic,Proterozoic,Craton,Craton low,Craton shallow,shallow low
2593,-99.545,43,103.5699997,107,7.47826087,2.5,1.811255587,2.675741568,1.871240208,2.764355978,major,major_20-100_mm/a,low,49318620041,H1,Archaean_and_Proterozoic,Proterozoic,Craton,Craton low,Craton major,major low
2592,-102.273,43,79.5999985,77,7.7,2.5,2.50974026,3.711038961,2.427763865,3.589824188,major,major_2-20_mm/a,low,49318620041,G1,Archaean_and_Proterozoic,Archaean,Craton,Craton low,Craton major,major low
2591,-105,43,63.0299988,58.5,6.666666667,2.5,3.347578348,4.928774929,3.10698615,4.574541311,complex,complex_<20_mm/a,low,49318620041,P-,orogen,orogen,orogen,orogen,orogen complex,complex low
2590,-107.727,43,56.1300011,62,5.4,2.5,3.209677419,4.701612903,3.545341103,5.193301163,complex,complex_<20_mm/a,low,49318764709,P-,orogen,orogen,orogen,orogen,orogen complex,complex low
2589,-110.455,43,76.1299973,80,2.625,2.5,2.57421875,3.73046875,2.705076938,3.920103909,complex,complex_<20_mm/a,low,49318620041,P-,orogen,orogen,orogen,orogen,orogen complex,complex low
2588,-113.182,43,222.3500061,94.5,6.3,2.5,2.082010582,3.060846561,0.884866178,1.30087696,complex,complex_<20_mm/a,low,49318620041,M-,orogen,orogen,Extended_Crust,Extended_Crust low,Extended_Crust complex,complex low
2587,-115.909,43,112.1800003,99.75,7.333333333,2.5,1.946532999,2.873851295,1.730849226,2.555416883,complex,complex_<20_mm/a,low,49318620041,M-,orogen,orogen,Extended_Crust,Extended_Crust low,Extended_Crust complex,complex low
2586,-118.636,43,107.9300003,85,6.95,2.5,2.295588235,3.383823529,1.807884735,2.664921701,complex,complex_<20_mm/a,low,49318620041,M-,orogen,orogen,Extended_Crust,Extended_Crust low,Extended_Crust complex,complex low
2585,-121.364,43,219.1999969,67,6.35,2.5,2.934701493,4.315298507,0.897011874,1.319000931,complex,complex_<20_mm/a,low,49318620041,M-,orogen,orogen,Extended_Crust,Extended_Crust low,Extended_Crust complex,complex low
2584,-124.091,43,173.0599976,173.0599976,9.529411765,2.5,1.090237335,1.624734049,1.090237335,1.624734049,shallow,shallow_>=100_mm/a,high,49318620041,C-,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,shallow high
2583,144.265,41,29.6100006,26.75,6,2.5,7.38317757,10.8411215,6.670043769,9.793988319,shallow,shallow_>=100_mm/a,high,49396706059,A1,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,shallow high
2582,141.618,41,75.6500015,67,7.7,2.5,2.884328358,4.264925373,2.554527378,3.77726364,shallow,shallow_>=100_mm/a,high,49396706059,S-,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,shallow high
