no. of analyses,Year,Lat oN,N,"""N",Long oE,E,"""E",Lat oN,Long oE,Min. Depth (mbls.),Max. Depth (mbls.),Depth_in_m,cells_per_g_or_mL,S.D. (cells/gram or cells/mL),Method,Method_Details,MethodCM,Portion_of_Biomass,T (oC),pH,Eh,Salinity (M),Ionic Strength (M),TOC or SOC  (ppm),DOC (ppm),NH4 or N (ppm),NO3 (ppm),porosity (%),,conductivity (m/sec),Biomass Correlation?,Most Abundance Isolates or Phyla,gas concentrations,Locality,Sample_Type,Sample_Type_Full,Rock_Type,rock color,Formation,Formation age,Citation,,rechargeFull,rechargeType,rechargeVolume,crustTypeFull,crustTypeCompleteInfo
1,1986,30,35.56,,-87,-14.73,,30.5927,-87.2455,,,1,750000,,PLFA,3.00E+01,PLFA,bacteria,19,5.3,440,,,,,,,,,,,,,,core,core,soil,,,,Federle et al. Ground Water 1986,,major 100-300 mm/a,major,high,E-,Craton
1,1986,30,35.56,,-87,-14.73,,30.5927,-87.2455,,,1.2,700000,,PLFA,2.80E+01,PLFA,bacteria,19,5.3,440,,,,,,,,,,,,,,core,core,soil,,,,Federle et al. Ground Water 1986,,major 100-300 mm/a,major,high,E-,Craton
1,1986,30,35.56,,-87,-14.73,,30.5927,-87.2455,,,1.3,15000,,PLFA,6.00E-01,PLFA,bacteria,19,5.3,440,,,,,,,,,,,,,,core,core,soil,,,,Federle et al. Ground Water 1986,,major 100-300 mm/a,major,high,E-,Craton
1,1986,30,35.56,,-87,-14.73,,30.5927,-87.2455,,,1.4,375000,,PLFA,1.50E+01,PLFA,bacteria,19,5.3,440,,,,,,,,,,,,,,core,core,soil,,,,Federle et al. Ground Water 1986,,major 100-300 mm/a,major,high,E-,Craton
1,1986,30,35.56,,-87,-14.73,,30.5927,-87.2455,,,1.6,175000,,PLFA,7.00E+00,PLFA,bacteria,19,5.3,440,,,,,,,,,,,,,,core,core,soil,,,,Federle et al. Ground Water 1986,,major 100-300 mm/a,major,high,E-,Craton
1,1986,30,35.56,,-87,-14.73,,30.5927,-87.2455,,,1.7,250000,,PLFA,1.00E+01,PLFA,bacteria,19,5.3,440,,,,,,,,,,,,,,core,core,soil,,,,Federle et al. Ground Water 1986,,major 100-300 mm/a,major,high,E-,Craton
1,1986,30,35.56,,-87,-14.73,,30.5927,-87.2455,,,2,100000,,PLFA,4.00E+00,PLFA,bacteria,19,5.3,440,,,,,,,,,,,,,,core,core,soil,,,,Federle et al. Ground Water 1986,,major 100-300 mm/a,major,high,E-,Craton
1,1986,30,35.56,,-87,-14.73,,30.5927,-87.2455,,,0.06,300000000,,PLFA,1.20E+04,PLFA,bacteria,19,5.2,290,,,,,,,,,,,,,,core,core,soil,,,,Federle et al. Ground Water 1986,,major 100-300 mm/a,major,high,E-,Craton
1,1986,30,35.56,,-87,-14.73,,30.5927,-87.2455,,,0.2,150000000,,PLFA,6.00E+03,PLFA,bacteria,19,4.9,350,,,,,,,,,,,,,,core,core,soil,,,,Federle et al. Ground Water 1986,,major 100-300 mm/a,major,high,E-,Craton
1,1986,30,35.56,,-87,-14.73,,30.5927,-87.2455,,,0.35,150000000,,PLFA,6.00E+03,PLFA,bacteria,19,4.9,350,,,,,,,,,,,,,,core,core,soil,,,,Federle et al. Ground Water 1986,,major 100-300 mm/a,major,high,E-,Craton
1,1986,30,35.56,,-87,-14.73,,30.5927,-87.2455,,,0.6,15000000,,PLFA,6.00E+02,PLFA,bacteria,19,4.9,360,,,,,,,,,,,,,,core,core,soil,,,,Federle et al. Ground Water 1986,,major 100-300 mm/a,major,high,E-,Craton
1,1986,30,35.56,,-87,-14.73,,30.5927,-87.2455,,,0.8,2500000,,PLFA,1.00E+02,PLFA,bacteria,19,5,360,,,,,,,,,,,,,,core,core,soil,,,,Federle et al. Ground Water 1986,,major 100-300 mm/a,major,high,E-,Craton
1,1986,30,35.56,,-87,-14.73,,30.5927,-87.2455,,,0.9,300000,,PLFA,1.20E+01,PLFA,bacteria,19,5,360,,,,,,,,,,,,,,core,core,soil,,,,Federle et al. Ground Water 1986,,major 100-300 mm/a,major,high,E-,Craton
1,1986,30,35.56,,-87,-14.73,,30.5927,-87.2455,,,1.1,37500,,PLFA,1.50E+00,PLFA,bacteria,19,5.2,390,,,,,,,,,,,,,,core,core,soil,,,,Federle et al. Ground Water 1986,,major 100-300 mm/a,major,high,E-,Craton
1,1986,30,35.56,,-87,-14.73,,30.5927,-87.2455,,,0.06,250000000,,PLFA,1.00E+04,PLFA,bacteria,19,5.2,290,,,,,,,,,,,,,,core,core,soil,,,,Federle et al. Ground Water 1986,,major 100-300 mm/a,major,high,E-,Craton
