x,similarity,locality,primer
6814.017959,0.004140787,different regions,different primers
6814.017959,0.004454343,different regions,different primers
8437.426088,0.086553323,different regions,different primers
8437.426088,0.105660377,different regions,different primers
8437.426088,0.032309154,different regions,different primers
8437.426088,0.038282745,different regions,different primers
8437.426088,0.033692092,different regions,different primers
8437.426088,0.045242537,different regions,different primers
8437.426088,0.043254377,different regions,different primers
8437.426088,0.03791031,different regions,different primers
8437.426088,0.041296519,different regions,different primers
8437.426088,0.04678585,different regions,different primers
8437.426088,0.046096654,different regions,different primers
8437.426088,0.041716615,different regions,different primers
8437.426088,0.043701799,different regions,different primers
8437.426088,0.035408022,different regions,different primers
2875.399953,0.004484305,USA,different primers
857.1258428,0.054054054,USA,different primers
857.1258428,0.065630397,USA,different primers
857.1258428,0.060829493,USA,different primers
857.1258428,0.051829268,USA,different primers
857.1258428,0.062317429,USA,different primers
857.1258428,0.075728155,USA,different primers
16950.7607,0.035608309,different regions,different primers
16950.7607,0.038207201,different regions,different primers
16901.90372,0.027280021,different regions,different primers
16673.98619,0.038925439,different regions,different primers
16942.35425,0.041515087,different regions,different primers
16786.96827,0.044782609,different regions,different primers
16895.34912,0.041491597,different regions,different primers
6814.153082,0.006342495,different regions,different primers
6814.153082,0.006500542,different regions,different primers
6814.153082,0.006417112,different regions,different primers
6814.017959,0.00845666,different regions,different primers
6814.017959,0.008438819,different regions,different primers
6814.017959,0.006198347,different regions,different primers
6814.017959,0.010559662,different regions,different primers
6814.153082,0.010183299,different regions,different primers
6814.153082,0.01025641,different regions,different primers
6814.153082,0.008368201,different regions,different primers
6814.017959,0.008080808,different regions,different primers
6814.017959,0.010235415,different regions,different primers
6814.017959,0.009881423,different regions,different primers
6814.017959,0.008179959,different regions,different primers
8437.426088,0.06292517,different regions,different primers
8437.426088,0.066100094,different regions,different primers
8437.426088,0.028311097,different regions,different primers
